,network_type,cv,weight_decay,refit,num_train_ksr,num_test_ksr,AUPRC,AUROC,MCC,F1,ACC,TP,TN,FP,FN,train_loss,val_loss,val_r2,activation,drop_p_prior,drop_p_kki,drop_p_ksr
0,cpd,0,1e-10,,96912,24196,0.23053047403817525,0.7008227975988514,0.20314536034591943,0.22720513666029976,0.6438400550545528,18259.0,206277.0,118272.0,5937.0,0.021221861959649965,0.01972712328036626,0.7281979918479919,ReLU0,0,0,0
1,weight,0,1e-10,,96912,24196,0.10721580115246204,0.5001554843540654,0.23212227445687417,0.1945563462388936,0.5284766777915335,24196.0,200340.0,200338.0,0.0,0.021221861959649965,0.01972712328036626,0.7281979918479919,ReLU0,0,0,0
2,cpd,0,1e-10,0,96912,24196,0.21887095486982727,0.6645736964675344,0.182071004404852,0.2242099396574857,0.6657119900855948,16293.0,208243.0,104848.0,7903.0,0.020768162722770985,0.019880446915825207,0.7170067727565765,ReLU0,0,0,0
3,weight,0,1e-10,0,96912,24196,0.11211630910186066,0.508821199200242,0.04773854846030893,0.15063302294157388,0.7951948889030549,5128.0,219408.0,38762.0,19068.0,0.020768162722770985,0.019880446915825207,0.7170067727565765,ReLU0,0,0,0
4,cpd,0,1e-10,1,96912,24196,0.2255202641489968,0.6805958781874417,0.19659253621884193,0.2314649828250869,0.6643646940122081,17082.0,207454.0,106321.0,7114.0,0.018266859464347363,0.01798072860886653,0.7588535050551096,ReLU0,0,0,0
5,weight,0,1e-10,1,96912,24196,0.09410579713048414,0.488235982154028,-0.008058996020812772,0.07574225159013777,0.8452038139118193,1685.0,222851.0,18612.0,22511.0,0.018266859464347363,0.01798072860886653,0.7588535050551096,ReLU0,0,0,0
6,cpd,0,1e-10,2,96912,24196,0.23170664813560285,0.6874290600919749,0.2002582848209993,0.23276857396020728,0.6626764886433395,17338.0,207198.0,107438.0,6858.0,0.017583568652088825,0.016883959528058767,0.7450109422206879,ReLU0,0,0,0
7,weight,0,1e-10,2,96912,24196,0.09140130035400783,0.48881805006542606,-0.013324377107423558,0.060469087439104015,0.8571712158808933,1204.0,223332.0,14422.0,22992.0,0.017583568652088825,0.016883959528058767,0.7450109422206879,ReLU0,0,0,0
8,cpd,0,1e-10,3,96912,24196,0.23427166794445667,0.6924560644820815,0.20378958422005858,0.23344136516965408,0.6595619683226018,17647.0,206889.0,109347.0,6549.0,0.016636972387249652,0.016780117837091286,0.7573199470837911,ReLU0,0,0,0
9,weight,0,1e-10,3,96912,24196,0.09120403163171233,0.4896181463408388,-0.013508053763262974,0.05669848370568806,0.8609344146009471,1090.0,223446.0,13163.0,23106.0,0.016636972387249652,0.016780117837091286,0.7573199470837911,ReLU0,0,0,0
10,cpd,0,1e-10,4,96912,24196,0.2314715661286149,0.6865964914324109,0.1988316394873338,0.2318583952082956,0.66223282673517,17284.0,207252.0,107611.0,6912.0,0.016532602719962597,0.01622974794978897,0.7702856461207072,ReLU0,0,0,0
11,weight,0,1e-10,4,96912,24196,0.09104829466066541,0.4903052260528898,-0.013597992306614154,0.05339623653031684,0.8640985183759862,996.0,223540.0,12114.0,23200.0,0.016532602719962597,0.01622974794978897,0.7702856461207072,ReLU0,0,0,0
12,cpd,0,1e-10,5,96912,24196,0.23599029752386488,0.695649346742873,0.20465537875955522,0.233671672503512,0.6589870542278468,17715.0,206821.0,109712.0,6481.0,0.01611147319468168,0.016063244702915352,0.7666319012641907,ReLU0,0,0,0
13,weight,0,1e-10,5,96912,24196,0.09090462386000762,0.49067883851461447,-0.013689520628480131,0.05135621895977733,0.8659313536444273,941.0,223595.0,11509.0,23255.0,0.01611147319468168,0.016063244702915352,0.7666319012641907,ReLU0,0,0,0
14,cpd,0,1e-10,6,96912,24196,0.2369178510773882,0.6985101386701955,0.2075689735603933,0.23552340369305982,0.659912829058548,17825.0,206711.0,109344.0,6371.0,0.01586767200094003,0.016563214361667633,0.7743169168631235,ReLU0,0,0,0
15,weight,0,1e-10,6,96912,24196,0.09088179263721086,0.4910512306381186,-0.01358072742037789,0.04979643836375218,0.8674534953350461,899.0,223637.0,11012.0,23297.0,0.01586767200094003,0.016563214361667633,0.7743169168631235,ReLU0,0,0,0
16,cpd,0,1e-10,7,96912,24196,0.23300092123150204,0.6939845984961621,0.20402437473807494,0.2333267365921235,0.6589348390050359,17685.0,206851.0,109709.0,6511.0,0.0160572907815759,0.015296573750674725,0.7734459439913431,ReLU0,0,0,0
