Epoch [1/50], Train Loss: 0.0229, Val Loss: 0.0209, Val R2: 0.7194
Epoch [2/50], Train Loss: 0.0216, Val Loss: 0.0203, Val R2: 0.7273
Epoch [3/50], Train Loss: 0.0210, Val Loss: 0.0201, Val R2: 0.7301
Epoch [4/50], Train Loss: 0.0207, Val Loss: 0.0199, Val R2: 0.7329
Epoch [5/50], Train Loss: 0.0204, Val Loss: 0.0198, Val R2: 0.7342
Epoch [6/50], Train Loss: 0.0203, Val Loss: 0.0197, Val R2: 0.7356
Epoch [7/50], Train Loss: 0.0201, Val Loss: 0.0197, Val R2: 0.7365
Epoch [8/50], Train Loss: 0.0202, Val Loss: 0.0196, Val R2: 0.7368
Epoch [9/50], Train Loss: 0.0203, Val Loss: 0.0196, Val R2: 0.7370
Epoch [10/50], Train Loss: 0.0200, Val Loss: 0.0196, Val R2: 0.7371
Epoch [11/50], Train Loss: 0.0201, Val Loss: 0.0196, Val R2: 0.7371
Epoch [12/50], Train Loss: 0.0201, Val Loss: 0.0196, Val R2: 0.7372
Epoch [13/50], Train Loss: 0.0201, Val Loss: 0.0196, Val R2: 0.7373
Epoch [14/50], Train Loss: 0.0200, Val Loss: 0.0196, Val R2: 0.7377
Epoch [15/50], Train Loss: 0.0200, Val Loss: 0.0195, Val R2: 0.7384
Epoch [16/50], Train Loss: 0.0200, Val Loss: 0.0194, Val R2: 0.7392
Epoch [17/50], Train Loss: 0.0201, Val Loss: 0.0194, Val R2: 0.7401
Epoch [18/50], Train Loss: 0.0198, Val Loss: 0.0193, Val R2: 0.7411
Epoch [19/50], Train Loss: 0.0197, Val Loss: 0.0192, Val R2: 0.7426
Epoch [20/50], Train Loss: 0.0196, Val Loss: 0.0190, Val R2: 0.7446
Epoch [21/50], Train Loss: 0.0195, Val Loss: 0.0190, Val R2: 0.7449
Epoch [22/50], Train Loss: 0.0194, Val Loss: 0.0189, Val R2: 0.7464
Epoch [23/50], Train Loss: 0.0194, Val Loss: 0.0189, Val R2: 0.7472
Epoch [24/50], Train Loss: 0.0192, Val Loss: 0.0188, Val R2: 0.7479
Epoch [25/50], Train Loss: 0.0192, Val Loss: 0.0187, Val R2: 0.7490
Epoch [26/50], Train Loss: 0.0192, Val Loss: 0.0187, Val R2: 0.7494
Epoch [27/50], Train Loss: 0.0191, Val Loss: 0.0187, Val R2: 0.7499
Epoch [28/50], Train Loss: 0.0193, Val Loss: 0.0186, Val R2: 0.7500
Epoch [29/50], Train Loss: 0.0190, Val Loss: 0.0186, Val R2: 0.7501
Epoch [30/50], Train Loss: 0.0191, Val Loss: 0.0186, Val R2: 0.7502
Epoch [31/50], Train Loss: 0.0191, Val Loss: 0.0186, Val R2: 0.7502
Epoch [32/50], Train Loss: 0.0190, Val Loss: 0.0186, Val R2: 0.7502
Epoch [33/50], Train Loss: 0.0190, Val Loss: 0.0186, Val R2: 0.7503
Epoch [34/50], Train Loss: 0.0190, Val Loss: 0.0186, Val R2: 0.7504
Epoch [35/50], Train Loss: 0.0190, Val Loss: 0.0186, Val R2: 0.7508
Epoch [36/50], Train Loss: 0.0189, Val Loss: 0.0185, Val R2: 0.7513
Epoch [37/50], Train Loss: 0.0189, Val Loss: 0.0185, Val R2: 0.7517
Epoch [38/50], Train Loss: 0.0189, Val Loss: 0.0185, Val R2: 0.7523
Epoch [39/50], Train Loss: 0.0189, Val Loss: 0.0185, Val R2: 0.7522
Epoch [40/50], Train Loss: 0.0188, Val Loss: 0.0183, Val R2: 0.7548
Epoch [41/50], Train Loss: 0.0186, Val Loss: 0.0183, Val R2: 0.7541
Epoch [42/50], Train Loss: 0.0188, Val Loss: 0.0182, Val R2: 0.7561
Epoch [43/50], Train Loss: 0.0186, Val Loss: 0.0182, Val R2: 0.7559
Epoch [44/50], Train Loss: 0.0186, Val Loss: 0.0181, Val R2: 0.7571
Epoch [45/50], Train Loss: 0.0184, Val Loss: 0.0181, Val R2: 0.7578
Epoch [46/50], Train Loss: 0.0183, Val Loss: 0.0180, Val R2: 0.7583
Epoch [47/50], Train Loss: 0.0184, Val Loss: 0.0180, Val R2: 0.7586
Epoch [48/50], Train Loss: 0.0184, Val Loss: 0.0180, Val R2: 0.7588
Epoch [49/50], Train Loss: 0.0183, Val Loss: 0.0180, Val R2: 0.7589
Epoch [50/50], Train Loss: 0.0183, Val Loss: 0.0180, Val R2: 0.7589
