Epoch [1/200], Train Loss: 10.4648, Val Loss: 3.4552, Val R2: -51.4925
Epoch [2/200], Train Loss: 1.4906, Val Loss: 0.4337, Val R2: -5.5818
Epoch [3/200], Train Loss: 0.2064, Val Loss: 0.0916, Val R2: -0.3833
Epoch [4/200], Train Loss: 0.0712, Val Loss: 0.0641, Val R2: 0.0341
Epoch [5/200], Train Loss: 0.0605, Val Loss: 0.0622, Val R2: 0.0636
Epoch [6/200], Train Loss: 0.0597, Val Loss: 0.0618, Val R2: 0.0699
Epoch [7/200], Train Loss: 0.0593, Val Loss: 0.0614, Val R2: 0.0757
Epoch [8/200], Train Loss: 0.0588, Val Loss: 0.0610, Val R2: 0.0808
Epoch [9/200], Train Loss: 0.0586, Val Loss: 0.0609, Val R2: 0.0835
Epoch [10/200], Train Loss: 0.0586, Val Loss: 0.0608, Val R2: 0.0842
Epoch [11/200], Train Loss: 0.0585, Val Loss: 0.0608, Val R2: 0.0842
Epoch [12/200], Train Loss: 0.0585, Val Loss: 0.0608, Val R2: 0.0849
Epoch [13/200], Train Loss: 0.0584, Val Loss: 0.0606, Val R2: 0.0876
Epoch [14/200], Train Loss: 0.0582, Val Loss: 0.0602, Val R2: 0.0934
Epoch [15/200], Train Loss: 0.0578, Val Loss: 0.0595, Val R2: 0.1034
Epoch [16/200], Train Loss: 0.0569, Val Loss: 0.0585, Val R2: 0.1193
Epoch [17/200], Train Loss: 0.0557, Val Loss: 0.0569, Val R2: 0.1431
Epoch [18/200], Train Loss: 0.0538, Val Loss: 0.0547, Val R2: 0.1775
Epoch [19/200], Train Loss: 0.0513, Val Loss: 0.0516, Val R2: 0.2240
Epoch [20/200], Train Loss: 0.0479, Val Loss: 0.0478, Val R2: 0.2815
Epoch [21/200], Train Loss: 0.0442, Val Loss: 0.0437, Val R2: 0.3433
Epoch [22/200], Train Loss: 0.0403, Val Loss: 0.0399, Val R2: 0.4007
Epoch [23/200], Train Loss: 0.0369, Val Loss: 0.0368, Val R2: 0.4478
Epoch [24/200], Train Loss: 0.0342, Val Loss: 0.0345, Val R2: 0.4830
Epoch [25/200], Train Loss: 0.0323, Val Loss: 0.0328, Val R2: 0.5077
Epoch [26/200], Train Loss: 0.0309, Val Loss: 0.0318, Val R2: 0.5240
Epoch [27/200], Train Loss: 0.0300, Val Loss: 0.0311, Val R2: 0.5339
Epoch [28/200], Train Loss: 0.0296, Val Loss: 0.0308, Val R2: 0.5393
Epoch [29/200], Train Loss: 0.0292, Val Loss: 0.0306, Val R2: 0.5417
Epoch [30/200], Train Loss: 0.0292, Val Loss: 0.0306, Val R2: 0.5423
Epoch [31/200], Train Loss: 0.0290, Val Loss: 0.0306, Val R2: 0.5423
Epoch [32/200], Train Loss: 0.0291, Val Loss: 0.0305, Val R2: 0.5429
Epoch [33/200], Train Loss: 0.0290, Val Loss: 0.0304, Val R2: 0.5451
Epoch [34/200], Train Loss: 0.0287, Val Loss: 0.0301, Val R2: 0.5497
Epoch [35/200], Train Loss: 0.0284, Val Loss: 0.0296, Val R2: 0.5571
Epoch [36/200], Train Loss: 0.0279, Val Loss: 0.0289, Val R2: 0.5669
Epoch [37/200], Train Loss: 0.0271, Val Loss: 0.0282, Val R2: 0.5784
Epoch [38/200], Train Loss: 0.0263, Val Loss: 0.0274, Val R2: 0.5905
Epoch [39/200], Train Loss: 0.0256, Val Loss: 0.0266, Val R2: 0.6021
Epoch [40/200], Train Loss: 0.0248, Val Loss: 0.0259, Val R2: 0.6124
Epoch [41/200], Train Loss: 0.0241, Val Loss: 0.0253, Val R2: 0.6213
Epoch [42/200], Train Loss: 0.0237, Val Loss: 0.0249, Val R2: 0.6283
Epoch [43/200], Train Loss: 0.0233, Val Loss: 0.0245, Val R2: 0.6338
Epoch [44/200], Train Loss: 0.0229, Val Loss: 0.0242, Val R2: 0.6378
Epoch [45/200], Train Loss: 0.0227, Val Loss: 0.0240, Val R2: 0.6408
Epoch [46/200], Train Loss: 0.0225, Val Loss: 0.0239, Val R2: 0.6428
Epoch [47/200], Train Loss: 0.0224, Val Loss: 0.0238, Val R2: 0.6440
Epoch [48/200], Train Loss: 0.0223, Val Loss: 0.0238, Val R2: 0.6448
Epoch [49/200], Train Loss: 0.0223, Val Loss: 0.0237, Val R2: 0.6451
Epoch [50/200], Train Loss: 0.0223, Val Loss: 0.0237, Val R2: 0.6452
Epoch [51/200], Train Loss: 0.0221, Val Loss: 0.0237, Val R2: 0.6452
Epoch [52/200], Train Loss: 0.0222, Val Loss: 0.0237, Val R2: 0.6452
Epoch [53/200], Train Loss: 0.0222, Val Loss: 0.0237, Val R2: 0.6456
Epoch [54/200], Train Loss: 0.0221, Val Loss: 0.0237, Val R2: 0.6462
Epoch [55/200], Train Loss: 0.0222, Val Loss: 0.0236, Val R2: 0.6473
Epoch [56/200], Train Loss: 0.0220, Val Loss: 0.0235, Val R2: 0.6488
Epoch [57/200], Train Loss: 0.0219, Val Loss: 0.0234, Val R2: 0.6505
Epoch [58/200], Train Loss: 0.0219, Val Loss: 0.0233, Val R2: 0.6526
Epoch [59/200], Train Loss: 0.0218, Val Loss: 0.0231, Val R2: 0.6544
Epoch [60/200], Train Loss: 0.0217, Val Loss: 0.0230, Val R2: 0.6560
Epoch [61/200], Train Loss: 0.0215, Val Loss: 0.0229, Val R2: 0.6576
Epoch [62/200], Train Loss: 0.0214, Val Loss: 0.0228, Val R2: 0.6590
Epoch [63/200], Train Loss: 0.0213, Val Loss: 0.0227, Val R2: 0.6601
Epoch [64/200], Train Loss: 0.0211, Val Loss: 0.0227, Val R2: 0.6609
Epoch [65/200], Train Loss: 0.0212, Val Loss: 0.0226, Val R2: 0.6616
Epoch [66/200], Train Loss: 0.0210, Val Loss: 0.0226, Val R2: 0.6621
Epoch [67/200], Train Loss: 0.0211, Val Loss: 0.0226, Val R2: 0.6624
Epoch [68/200], Train Loss: 0.0210, Val Loss: 0.0226, Val R2: 0.6625
Epoch [69/200], Train Loss: 0.0210, Val Loss: 0.0226, Val R2: 0.6626
Epoch [70/200], Train Loss: 0.0209, Val Loss: 0.0226, Val R2: 0.6626
Epoch [71/200], Train Loss: 0.0209, Val Loss: 0.0226, Val R2: 0.6626
Epoch [72/200], Train Loss: 0.0210, Val Loss: 0.0226, Val R2: 0.6627
Epoch [73/200], Train Loss: 0.0210, Val Loss: 0.0226, Val R2: 0.6627
Epoch [74/200], Train Loss: 0.0210, Val Loss: 0.0226, Val R2: 0.6629
Epoch [75/200], Train Loss: 0.0209, Val Loss: 0.0225, Val R2: 0.6632
Epoch [76/200], Train Loss: 0.0210, Val Loss: 0.0225, Val R2: 0.6635
Epoch [77/200], Train Loss: 0.0209, Val Loss: 0.0225, Val R2: 0.6640
Epoch [78/200], Train Loss: 0.0209, Val Loss: 0.0225, Val R2: 0.6645
Epoch [79/200], Train Loss: 0.0210, Val Loss: 0.0224, Val R2: 0.6650
Epoch [80/200], Train Loss: 0.0208, Val Loss: 0.0224, Val R2: 0.6654
Epoch [81/200], Train Loss: 0.0208, Val Loss: 0.0224, Val R2: 0.6659
Epoch [82/200], Train Loss: 0.0207, Val Loss: 0.0223, Val R2: 0.6664
Epoch [83/200], Train Loss: 0.0207, Val Loss: 0.0223, Val R2: 0.6666
Epoch [84/200], Train Loss: 0.0207, Val Loss: 0.0223, Val R2: 0.6668
Epoch [85/200], Train Loss: 0.0207, Val Loss: 0.0223, Val R2: 0.6670
Epoch [86/200], Train Loss: 0.0206, Val Loss: 0.0223, Val R2: 0.6672
Epoch [87/200], Train Loss: 0.0206, Val Loss: 0.0223, Val R2: 0.6673
Epoch [88/200], Train Loss: 0.0206, Val Loss: 0.0223, Val R2: 0.6674
Epoch [89/200], Train Loss: 0.0206, Val Loss: 0.0223, Val R2: 0.6674
Epoch [90/200], Train Loss: 0.0206, Val Loss: 0.0223, Val R2: 0.6674
Epoch [91/200], Train Loss: 0.0207, Val Loss: 0.0223, Val R2: 0.6674
Epoch [92/200], Train Loss: 0.0207, Val Loss: 0.0223, Val R2: 0.6674
Epoch [93/200], Train Loss: 0.0206, Val Loss: 0.0223, Val R2: 0.6675
Epoch [94/200], Train Loss: 0.0206, Val Loss: 0.0223, Val R2: 0.6675
Epoch [95/200], Train Loss: 0.0207, Val Loss: 0.0222, Val R2: 0.6676
Epoch [96/200], Train Loss: 0.0207, Val Loss: 0.0222, Val R2: 0.6677
Epoch [97/200], Train Loss: 0.0206, Val Loss: 0.0222, Val R2: 0.6679
Epoch [98/200], Train Loss: 0.0206, Val Loss: 0.0222, Val R2: 0.6680
Epoch [99/200], Train Loss: 0.0207, Val Loss: 0.0222, Val R2: 0.6683
Epoch [100/200], Train Loss: 0.0205, Val Loss: 0.0222, Val R2: 0.6684
Epoch [101/200], Train Loss: 0.0207, Val Loss: 0.0222, Val R2: 0.6685
Epoch [102/200], Train Loss: 0.0207, Val Loss: 0.0222, Val R2: 0.6687
Epoch [103/200], Train Loss: 0.0205, Val Loss: 0.0222, Val R2: 0.6688
Epoch [104/200], Train Loss: 0.0205, Val Loss: 0.0222, Val R2: 0.6690
Epoch [105/200], Train Loss: 0.0205, Val Loss: 0.0222, Val R2: 0.6690
Epoch [106/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6691
Epoch [107/200], Train Loss: 0.0206, Val Loss: 0.0221, Val R2: 0.6692
Epoch [108/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6692
Epoch [109/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6692
Epoch [110/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6692
Epoch [111/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6692
Epoch [112/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6692
Epoch [113/200], Train Loss: 0.0206, Val Loss: 0.0221, Val R2: 0.6693
Epoch [114/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6693
Epoch [115/200], Train Loss: 0.0206, Val Loss: 0.0221, Val R2: 0.6693
Epoch [116/200], Train Loss: 0.0206, Val Loss: 0.0221, Val R2: 0.6693
Epoch [117/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6694
Epoch [118/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6694
Epoch [119/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6690
Epoch [120/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6696
Epoch [121/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6697
Epoch [122/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6698
Epoch [123/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6699
Epoch [124/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6701
Epoch [125/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6699
Epoch [126/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6702
Epoch [127/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6702
Epoch [128/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6702
Epoch [129/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6702
Epoch [130/200], Train Loss: 0.0203, Val Loss: 0.0221, Val R2: 0.6702
Epoch [131/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6702
Epoch [132/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6702
Epoch [133/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6702
Epoch [134/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6701
Epoch [135/200], Train Loss: 0.0205, Val Loss: 0.0221, Val R2: 0.6702
Epoch [136/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6703
Epoch [137/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6704
Epoch [138/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6703
Epoch [139/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6705
Epoch [140/200], Train Loss: 0.0203, Val Loss: 0.0221, Val R2: 0.6705
Epoch [141/200], Train Loss: 0.0204, Val Loss: 0.0221, Val R2: 0.6704
Epoch [142/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6705
Epoch [143/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6708
Epoch [144/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6707
Epoch [145/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6708
Epoch [146/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6708
Epoch [147/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6709
Epoch [148/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6710
Epoch [149/200], Train Loss: 0.0205, Val Loss: 0.0220, Val R2: 0.6709
Epoch [150/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6709
Epoch [151/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6709
Epoch [152/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6709
Epoch [153/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6710
Epoch [154/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6710
Epoch [155/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6710
Epoch [156/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6712
Epoch [157/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6709
Epoch [158/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6712
Epoch [159/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6714
Epoch [160/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6711
Epoch [161/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6717
Epoch [162/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6711
Epoch [163/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6717
Epoch [164/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6718
Epoch [165/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6716
Epoch [166/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6718
Epoch [167/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6719
Epoch [168/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6720
Epoch [169/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6719
Epoch [170/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6719
Epoch [171/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6719
Epoch [172/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6719
Epoch [173/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6720
Epoch [174/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6720
Epoch [175/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6720
